Vibrio_fluvialis | número de entradas: 13 | date: 2023-05-03 10:47:40.534562
GCF_028898925.1 SAMN33268487
GCF_018140575.1 SAMN18795813
GCF_013181325.1 SAMN14968934
GCF_009764215.1 SAMN13500477
GCF_009764195.1 SAMN13500478
GCF_009763785.1 SAMN12648259
GCF_009763685.1 SAMN12648274
GCF_009763465.1 SAMN12648294
GCF_009763185.1 SAMN12648305
GCF_009763005.1 SAMN12648295
GCF_002953375.1 SAMN03996261
GCF_001558415.2 SAMN03996321
GCF_001952955.1 SAMN06209376
