Mycobacterium_tuberculosis | número de entradas: 365 | date: 2023-05-03 10:45:12.275134
GCF_001597645.2 SAMN04492771
GCF_009730235.1 SAMN11056465
GCF_009730215.1 SAMN11056466
GCF_009664875.1 SAMN13191639
GCF_008761675.1 SAMN12816907
GCF_007833935.1 SAMN12126281
GCF_900520315.1 SAMEA104027311
GCF_005156105.1 SAMN10219708
GCF_005155785.1 SAMN10219709
GCF_003293655.1 SAMN08973501
GCF_003287185.1 SAMN06292067
GCF_003287165.1 SAMN06292065
GCF_003287145.1 SAMN06292590
GCF_003287125.1 SAMN06292592
GCF_003265005.1 SAMN09453176
GCF_002895185.1 SAMN07125453
GCF_003006135.1 SAMN07414819
GCF_003006115.1 SAMN07414820
GCF_002975475.1 SAMN08321034
GCF_002886225.1 SAMN08199276
GCF_002887335.1 SAMN08199348
GCF_002887255.1 SAMN08199306
GCF_002887145.1 SAMN08199303
GCF_002887065.1 SAMN08199267
GCF_002886945.1 SAMN08199265
GCF_002886865.1 SAMN08199268
GCF_002886775.1 SAMN08199271
GCF_002886685.1 SAMN08199347
GCF_002886585.1 SAMN08199266
GCF_002886505.1 SAMN08199277
GCF_002886405.1 SAMN08199301
GCF_002886335.1 SAMN08199305
GCF_002886195.1 SAMN08199302
GCF_002886165.1 SAMN08199260
GCF_002886145.1 SAMN08199254
GCF_002448215.1 SAMN07664890
GCF_002448195.1 SAMN07664889
GCF_002448175.1 SAMN07664888
GCF_002448155.1 SAMN07664887
GCF_002448135.1 SAMN07664886
GCF_002448115.1 SAMN07664885
GCF_002448095.1 SAMN07664884
GCF_002448075.1 SAMN07664883
GCF_002448055.1 SAMN07664882
GCF_002448035.1 SAMN07664881
GCF_002448015.1 SAMN07664880
GCF_002447995.1 SAMN07664879
GCF_002447975.1 SAMN07664878
GCF_002447955.1 SAMN07664877
GCF_002447935.1 SAMN07664876
GCF_002447915.1 SAMN07664875
GCF_002447895.1 SAMN07664874
GCF_002447875.1 SAMN07664873
GCF_002447855.1 SAMN07664872
GCF_002447835.1 SAMN07664871
GCF_002447815.1 SAMN07664870
GCF_002447795.1 SAMN07664869
GCF_002447775.1 SAMN07664868
GCF_002447755.1 SAMN07664867
GCF_002447735.1 SAMN07664866
GCF_002447715.1 SAMN07664865
GCF_002447695.1 SAMN07664864
GCF_002447675.1 SAMN07664863
GCF_002447655.1 SAMN07664862
GCF_002447635.1 SAMN07664861
GCF_002447615.1 SAMN07664860
GCF_002447595.1 SAMN07664859
GCF_002447575.1 SAMN07664858
GCF_002447555.1 SAMN07664857
GCF_002447535.1 SAMN07664856
GCF_002447515.1 SAMN07664855
GCF_002447495.1 SAMN07664854
GCF_002447475.1 SAMN07664853
GCF_002447455.1 SAMN07664852
GCF_002447435.1 SAMN07664851
GCF_002447415.1 SAMN07664850
GCF_002447395.1 SAMN07664849
GCF_002447375.1 SAMN07664848
GCF_002447355.1 SAMN07664847
GCF_002447335.1 SAMN07664846
GCF_002447315.1 SAMN07664845
GCF_002447295.1 SAMN07664844
GCF_002447275.1 SAMN07664843
GCF_002447255.1 SAMN07664842
GCF_002447235.1 SAMN07664841
GCF_002447215.1 SAMN07664840
GCF_002447195.1 SAMN07664839
GCF_002447175.1 SAMN07664838
GCF_002447155.1 SAMN07664837
GCF_002447135.1 SAMN07664836
GCF_002447115.1 SAMN07664835
GCF_002447095.1 SAMN07664834
GCF_002447075.1 SAMN07664833
GCF_002447055.1 SAMN07664832
GCF_002447035.1 SAMN07664831
GCF_002447015.1 SAMN07664830
GCF_002446995.1 SAMN07664829
GCF_002446975.1 SAMN07664828
GCF_002446955.1 SAMN07664827
GCF_002446935.1 SAMN07664826
GCF_002446915.1 SAMN07664825
GCF_002446895.1 SAMN07664824
GCF_002446875.1 SAMN07664823
GCF_002357975.1 SAMD00076258
GCF_002357955.1 SAMD00076257
GCF_002357935.1 SAMD00076256
GCF_002356255.1 SAMD00076259
GCF_002356015.1 SAMD00065354
GCF_002208235.1 SAMN06622697
GCF_002116755.1 SAMN05833360
GCF_002116815.1 SAMN05833364
GCF_002116855.1 SAMN05833359
GCF_002116835.1 SAMN05833363
GCF_002116775.1 SAMN05833361
GCF_002116795.1 SAMN05833362
GCF_002072775.2 SAMN06622696
GCF_001938725.1 SAMN05414673
GCF_001922485.1 SAMN06141171
GCF_001895865.1 SAMN06010343
GCF_001895845.1 SAMN06010490
GCF_001895825.1 SAMN06010171
GCF_001895805.1 SAMN06010122
GCF_001895785.1 SAMN06010493
GCF_001895765.1 SAMN06010135
GCF_001870145.1 SAMN05933692
GCF_001855255.1 SAMN04293604
GCF_001750865.1 SAMN03301665
GCF_001275565.2 SAMN03921880
GCF_001708265.1 SAMN05447658
GCF_001702435.1 SAMN05447655
GCF_000934325.3 SAMN03288261
GCF_000400615.1 SAMN02603646
GCF_000389945.1 SAMN02603653
GCF_000389925.1 SAMN02603652
GCF_000389905.1 SAMN02603650
GCF_001580385.1 SAMN04517448
GCF_001545055.1 SAMN03257097
GCF_001545015.1 SAMN03257096
GCF_001544985.1 SAMN03257095
GCF_001544955.1 SAMN03257094
GCF_001544935.1 SAMN03257093
GCF_001544895.1 SAMN03257092
GCA_001544855.1 SAMN03257091
GCA_001544815.1 SAMN03257090
GCA_001544775.1 SAMN03257089
GCA_001544735.1 SAMN03253093
GCF_001544705.1 SAMN03253058
GCF_001544675.1 SAMN03253054
GCF_001483905.1 SAMN04364424
GCF_000331445.1 SAMEA2272730
GCF_000350205.1 SAMD00061050
GCF_000338715.2 SAMN02603488
GCF_000195955.2 SAMEA3138326
GCF_000193185.2 SAMN02595346
GCF_001274555.1 SAMN02940916
GCF_000154605.2 SAMN00103288
